,UMPD CASENUMBER,OCCURRED DATE TIMELOCATION,REPORT DATE TIME,TYPE,DISPOSITION,LOCATION
0,2010-00000177,11/06/10 04:38,11/10/10 09:30,Harassment/Stalking,Unfounded,"Art Sociology Building, Art-Sociology Building at 146 Campus Dr"
1,2010-00001439,11/07/10 18:30,11/17/10 19:37,Harassment/Stalking,Suspended,"S Campus Surge, Susquehanna Hall at 233 Lehigh Rd"
2,2010-00003575,09/01/09 12:00,12/01/10 12:02,Harassment/Stalking,Active/Pending,4300 block of Rowalt Dr
3,2010-00006599,05/28/10 10:19,12/16/10 16:23,Harassment/Stalking,Active/Pending,52 Administration Ci
4,2011-00001044,01/05/11 15:00,01/05/11 18:50,Harassment/Stalking,Suspended,360 block of Azalea Ln
5,2011-00008245,02/05/11 02:30,02/05/11 22:34,Harassment/Stalking,CBE,64 Campus Dr
6,2011-00010510,09/01/10 12:00,02/17/11 15:40,Harassment/Stalking,Active/Pending,Main Administration Building at 77 Regents Dr
7,2011-00010536,02/08/11 23:16,02/17/11 18:37,Harassment/Stalking,Suspended,98 Valley Dr
8,2011-00019893,03/19/11 13:00,04/05/11 22:46,Harassment/Stalking,Active/Pending,16 Lehigh Rd
9,2011-00025105,05/03/11 12:30,05/03/11 18:47,Harassment/Stalking,Active/Pending,Skinner Building at 44 Chapel Dr
10,2011-00034508,06/11/11 16:00,06/15/11 19:19,Harassment/Stalking,Active/Pending,Service Building at 3 Rossborough La
11,2011-00043991,05/01/11 11:59,07/29/11 14:16,Harassment/Stalking,Active/Pending,Service Building at 3 Rossborough La
12,2011-00046040,07/01/11 12:00,08/09/11 11:30,Harassment/Stalking,Active/Pending,Service Building at 3 Rossborough La
13,2011-00048253,08/20/11 08:50,08/20/11 08:50,Harassment/Stalking,Active/Pending,"Alpha Sigma Phi, Frat 9 at 9 Fraternity Row"
14,2011-00050529,03/01/11,09/01/11 13:03,Harassment/Stalking,Active/Pending,"Stamp Student Union, Student Union, Union at 163 Campus Dr"
15,2011-00053244,09/06/11 09:00,09/13/11 00:34,Harassment/Stalking,CBE,Montgomery Hall at 32 Lehigh Rd
16,2011-00059411,10/13/11 01:25,10/13/11 01:25,Harassment/Stalking,Active/Pending,Service Building at 3 Rossborough La
17,2011-00059687,08/15/11 12:00,10/14/11 10:25,Harassment/Stalking,Suspended,3400 block of Tulane Dr
18,2011-00061922,07/01/11,10/27/11 13:43,Harassment/Stalking,Active/Pending,Elkton Hall at 254 Denton Dr
19,2012-00005105,01/26/12 22:19,01/26/12 23:05,Harassment/Stalking,Active/Pending,Commons 3 at 4318 Knox Rd
20,2012-00007857,02/07/12 08:14,02/07/12 08:27,Harassment/Stalking,Active/Pending,261 at 4303 Rowalt Dr
21,2012-00009172,02/11/12 23:00,02/13/12 20:42,Harassment/Stalking,Active/Pending,Allegany Hall at 24 Lehigh Rd
22,2012-00009709,09/01/11,02/16/12 11:36,Harassment/Stalking,Active/Pending,Health Center at 140 Campus Dr
23,2012-00011941,02/05/12 18:00,02/27/12 15:21,Harassment/Stalking,Active/Pending,"Drazek Circle, UMUC at 346 Ehrensberger Dr"
24,2012-00012241,01/31/12,02/29/12 15:26,Harassment/Stalking,Active/Pending,Calvert Hall at 15 Lehigh Rd
25,2012-00019958,04/05/12 10:34,04/06/12 09:30,Harassment/Stalking,Suspended,Lefrak Hall at 38 Preinkert Dr
26,2012-00025369,05/02/12 12:00,05/04/12 18:06,Harassment/Stalking,CBE,Cumberland Hall at 122 Valley Dr
27,2012-00026374,05/10/12 10:00,05/10/12 12:07,Harassment/Stalking,Active/Pending,Mckeldin Library at 35 Library La
